date,latitude,longitude,temp,tempmax,tempmin,humidity,conditions
2021-08-09,40.7346,-73.9442,74.1,78.2,69.8,78.9,"Rain, Partially cloudy"
2021-08-09,40.8654,-73.8893,74.2,78.4,69.8,78.8,"Rain, Partially cloudy"
2021-08-09,37.105,-113.586,88.0,101.0,71.9,18.3,Clear
2021-08-10,40.62319,-74.02567,77.9,84.8,73.1,78.1,"Rain, Partially cloudy"
2021-08-10,40.7346,-73.9442,77.0,83.4,72.4,77.8,"Rain, Partially cloudy"
2021-08-10,37.105,-113.586,89.1,101.9,74.0,23.6,Clear
2021-08-10,40.8654,-73.8893,77.0,83.4,72.3,77.7,"Rain, Partially cloudy"
2021-08-10,40.718,-73.9936,77.2,83.6,72.5,78.2,"Rain, Partially cloudy"
2021-08-11,40.62319,-74.02567,81.2,91.3,74.2,75.6,"Rain, Partially cloudy"
2021-08-11,40.718,-73.9936,80.3,89.5,74.0,76.8,"Rain, Partially cloudy"
2021-08-11,40.7346,-73.9442,80.3,89.1,74.2,76.0,"Rain, Partially cloudy"
2021-08-11,40.8654,-73.8893,80.5,89.4,74.4,75.5,"Rain, Partially cloudy"
2021-08-11,40.701647,-73.8038,79.3,85.8,73.9,80.5,"Rain, Partially cloudy"
2021-08-11,37.105,-113.586,88.5,98.9,77.0,33.5,Clear
2021-08-12,40.62319,-74.02567,84.4,95.4,74.8,64.2,Partially cloudy
2021-08-12,40.7346,-73.9442,83.5,94.2,75.1,63.8,"Rain, Partially cloudy"
2021-08-12,40.718,-73.9936,83.3,93.8,74.8,64.8,Partially cloudy
2021-08-12,40.8654,-73.8893,83.7,95.0,75.2,63.7,"Rain, Partially cloudy"
2021-08-12,37.105,-113.586,88.3,100.1,77.0,34.9,Clear
2021-08-13,40.62319,-74.02567,87.6,95.7,78.8,54.2,Partially cloudy
2021-08-13,40.7346,-73.9442,86.7,94.6,79.1,55.2,Partially cloudy
2021-08-13,40.718,-73.9936,86.7,94.4,78.9,55.5,Partially cloudy
2021-08-13,37.105,-113.586,90.4,100.1,82.1,30.0,Clear
2021-08-13,40.8654,-73.8893,86.7,95.1,78.9,55.1,Partially cloudy
2021-08-14,40.7346,-73.9442,84.2,88.3,79.0,55.8,Partially cloudy
2021-08-14,40.718,-73.9936,84.1,88.4,79.3,56.1,Partially cloudy
2021-08-14,37.105,-113.586,88.9,102.8,79.1,35.8,Clear
2021-08-14,40.8654,-73.8893,84.1,88.5,78.9,56.1,Partially cloudy
2021-08-14,40.62319,-74.02567,84.5,89.7,79.6,55.8,Partially cloudy
2021-08-15,40.7346,-73.9442,76.3,82.6,70.8,48.0,Partially cloudy
2021-08-15,40.718,-73.9936,76.5,83.0,70.7,48.3,Partially cloudy
2021-08-15,40.8654,-73.8893,76.1,82.1,70.1,47.8,Partially cloudy
2021-08-15,40.62319,-74.02567,77.2,84.0,71.0,47.1,Partially cloudy
2021-08-16,40.7346,-73.9442,74.9,79.8,70.3,58.3,Partially cloudy
2021-08-16,40.718,-73.9936,74.9,79.9,70.2,59.0,Partially cloudy
2021-08-16,40.8654,-73.8893,74.8,79.9,70.1,58.3,Partially cloudy
2021-08-16,37.105,-113.586,90.7,104.1,77.0,27.2,Clear
2021-08-16,40.62319,-74.02567,75.4,80.9,69.7,59.9,Partially cloudy
2021-08-17,40.62319,-74.02567,77.1,81.2,73.9,67.2,Partially cloudy
2021-08-17,40.7346,-73.9442,76.4,80.1,73.8,66.6,Partially cloudy
2021-08-17,40.718,-73.9936,76.4,80.3,73.8,67.5,Partially cloudy
2021-08-17,40.8654,-73.8893,76.5,80.1,74.0,66.0,Partially cloudy
2021-08-17,37.105,-113.586,90.0,100.1,78.2,32.2,Clear
2021-08-18,40.62319,-74.02567,78.9,83.5,75.4,79.2,Partially cloudy
2021-08-18,40.718,-73.9936,78.3,83.3,74.8,79.3,Partially cloudy
2021-08-18,40.7346,-73.9442,78.3,83.4,74.7,78.6,Partially cloudy
2021-08-18,40.8654,-73.8893,78.4,83.4,74.9,78.0,Partially cloudy
2021-08-18,40.701647,-73.8038,77.5,81.9,73.2,83.7,Overcast
2021-08-18,37.105,-113.586,88.3,96.2,77.1,36.4,Partially cloudy
2021-09-15,37.105,-113.586,80.9,97.1,62.9,16.9,Clear
2021-08-19,40.718,-73.9936,80.8,86.4,76.4,73.2,"Rain, Partially cloudy"
2021-08-19,40.62319,-74.02567,81.6,87.7,77.1,71.3,"Rain, Partially cloudy"
2021-08-19,40.7346,-73.9442,80.8,86.5,76.3,72.5,"Rain, Partially cloudy"
2021-08-19,40.8654,-73.8893,81.1,86.8,76.4,71.8,"Rain, Partially cloudy"
2021-08-19,40.701647,-73.8038,81.4,86.0,76.9,73.8,"Rain, Partially cloudy"
2021-08-19,37.105,-113.586,73.8,88.1,62.9,51.3,Partially cloudy
2021-08-20,40.718,-73.9936,78.7,82.0,75.7,68.6,"Rain, Partially cloudy"
2021-08-20,40.62319,-74.02567,79.2,82.4,76.1,67.6,"Rain, Partially cloudy"
2021-08-20,40.7346,-73.9442,78.6,81.6,75.7,68.4,"Rain, Partially cloudy"
2021-08-20,37.105,-113.586,78.8,92.0,65.0,37.7,Clear
2021-08-20,40.8654,-73.8893,78.6,81.3,75.7,68.5,"Rain, Partially cloudy"
2021-08-21,40.62319,-74.02567,77.9,81.9,73.1,77.4,"Rain, Partially cloudy"
2021-08-21,40.7346,-73.9442,78.0,81.8,73.7,77.5,"Rain, Partially cloudy"
2021-08-21,40.718,-73.9936,77.9,81.7,73.6,77.9,"Rain, Partially cloudy"
2022-08-08,40.7346,-73.9442,85.7,92.8,79.4,62.8,Partially cloudy
2021-08-21,40.8654,-73.8893,77.9,81.9,73.5,77.5,"Rain, Partially cloudy"
2021-08-22,40.718,-73.9936,73.8,75.4,71.0,90.9,"Rain, Overcast"
2021-08-22,40.7346,-73.9442,73.7,75.2,70.8,90.3,"Rain, Overcast"
2021-08-22,40.8654,-73.8893,73.7,75.1,70.9,90.0,"Rain, Overcast"
2021-08-22,37.105,-113.586,84.4,98.0,71.0,24.8,Clear
2021-08-22,40.62319,-74.02567,74.3,76.0,72.2,90.6,"Rain, Overcast"
2021-08-23,40.62319,-74.02567,77.5,86.6,72.6,79.6,"Rain, Partially cloudy"
2021-08-23,40.7346,-73.9442,76.1,83.2,71.9,81.6,"Rain, Partially cloudy"
2021-08-23,40.8654,-73.8893,76.4,83.4,72.0,80.7,"Rain, Partially cloudy"
2021-08-23,40.718,-73.9936,76.2,83.7,71.9,82.2,"Rain, Partially cloudy"
2021-08-24,40.62319,-74.02567,82.7,90.2,75.1,59.3,Clear
2021-08-24,40.7346,-73.9442,81.5,88.8,74.6,60.6,Clear
2021-08-24,40.718,-73.9936,81.6,88.7,74.7,60.9,Clear
2021-08-24,40.8654,-73.8893,81.6,89.2,74.5,60.8,Clear
2021-08-24,37.105,-113.586,83.3,98.0,52.7,14.7,Clear
2021-08-25,40.62319,-74.02567,83.7,92.3,74.1,57.0,Partially cloudy
2021-08-25,40.7346,-73.9442,82.9,90.3,73.7,57.4,Partially cloudy
2021-08-25,40.718,-73.9936,82.9,90.5,73.8,57.6,Partially cloudy
2021-08-25,37.105,-113.586,84.8,98.9,70.1,17.9,Clear
2021-08-25,40.8654,-73.8893,82.8,91.0,73.3,58.0,Partially cloudy
2021-08-26,40.62319,-74.02567,84.9,93.1,77.0,62.0,"Rain, Partially cloudy"
2021-08-26,40.718,-73.9936,84.8,91.7,79.0,61.2,Rain
2021-08-26,40.7346,-73.9442,85.0,91.8,79.5,60.3,Clear
2021-08-26,37.105,-113.586,84.9,101.0,44.7,23.1,Clear
2021-08-26,40.8654,-73.8893,85.1,92.4,79.0,60.6,Partially cloudy
2021-08-27,40.62319,-74.02567,83.8,93.2,78.7,66.3,"Rain, Partially cloudy"
2021-08-27,40.7346,-73.9442,82.9,91.5,77.1,69.2,"Rain, Partially cloudy"
2021-08-27,40.718,-73.9936,82.8,91.8,77.5,69.6,"Rain, Partially cloudy"
2021-08-27,37.105,-113.586,83.1,101.9,53.7,16.8,Clear
2021-08-27,40.8654,-73.8893,83.2,91.8,77.3,68.6,"Rain, Partially cloudy"
2021-08-28,40.62319,-74.02567,75.1,81.0,69.5,70.2,Partially cloudy
2021-08-28,40.7346,-73.9442,74.4,80.3,68.5,73.4,Partially cloudy
2021-08-28,40.718,-73.9936,74.5,80.3,68.6,72.5,Partially cloudy
2021-08-28,40.8654,-73.8893,74.4,80.5,68.8,73.9,Partially cloudy
2021-08-28,37.105,-113.586,86.5,102.8,71.0,14.1,Clear
2021-08-29,40.62319,-74.02567,72.3,75.9,68.7,75.2,Overcast
2021-08-29,40.7346,-73.9442,71.5,74.7,67.3,77.8,"Rain, Overcast"
2021-08-29,40.718,-73.9936,71.7,75.0,67.5,76.7,Overcast
2021-08-29,37.105,-113.586,86.4,104.1,50.0,17.4,Clear
2021-08-29,40.8654,-73.8893,71.4,74.9,67.4,78.6,"Rain, Overcast"
2021-08-30,40.62319,-74.02567,79.4,87.2,73.4,76.1,Partially cloudy
2021-08-30,40.7346,-73.9442,78.9,84.8,73.4,76.0,"Rain, Partially cloudy"
2021-08-30,40.718,-73.9936,79.0,85.1,73.4,76.7,Partially cloudy
2021-08-30,37.105,-113.586,88.9,101.9,75.8,22.8,Clear
2021-08-30,40.8654,-73.8893,78.8,85.1,73.3,76.2,"Rain, Partially cloudy"
2021-08-31,40.62319,-74.02567,80.5,85.5,75.1,59.7,Partially cloudy
2021-08-31,40.7346,-73.9442,79.7,83.8,74.6,61.5,Partially cloudy
2021-08-31,40.718,-73.9936,79.8,83.9,74.7,60.8,Partially cloudy
2021-08-31,40.8654,-73.8893,79.6,84.1,74.4,62.6,Partially cloudy
2021-08-31,37.105,-113.586,85.7,95.1,77.1,36.2,Partially cloudy
2021-09-01,40.718,-73.9936,72.1,78.9,65.1,79.2,"Rain, Overcast"
2021-09-01,40.62319,-74.02567,72.3,78.6,64.7,79.1,"Rain, Overcast"
2021-09-01,40.7346,-73.9442,72.1,79.1,65.1,78.7,"Rain, Overcast"
2021-09-01,40.8654,-73.8893,71.9,78.7,65.0,79.3,"Rain, Overcast"
2021-09-01,40.701647,-73.8038,72.8,78.1,67.3,83.2,"Rain, Overcast"
2021-09-01,37.105,-113.586,74.1,83.9,65.9,72.4,Partially cloudy
2021-09-02,40.62319,-74.02567,69.4,77.4,62.6,59.3,"Rain, Partially cloudy"
2021-09-02,40.7346,-73.9442,68.6,75.5,62.4,62.3,"Rain, Partially cloudy"
2021-09-02,40.718,-73.9936,68.7,76.6,62.4,61.4,"Rain, Partially cloudy"
2021-09-02,40.8654,-73.8893,68.5,75.4,62.2,62.8,"Rain, Partially cloudy"
2021-09-02,37.105,-113.586,79.1,89.9,68.0,54.0,Clear
2022-09-24,40.7346,-73.9442,59.1,69.6,49.7,48.1,Clear
2021-09-03,40.62319,-74.02567,67.8,74.6,59.9,57.8,Partially cloudy
2021-09-03,40.7346,-73.9442,67.6,73.5,60.2,58.9,Partially cloudy
2021-09-03,40.718,-73.9936,67.5,73.3,59.9,58.4,Partially cloudy
2021-09-03,37.105,-113.586,81.7,92.9,68.1,35.4,Clear
2021-09-03,40.8654,-73.8893,67.6,74.0,60.4,59.5,Partially cloudy
2021-09-04,40.7346,-73.9442,70.2,78.3,63.0,60.5,Partially cloudy
2021-09-04,40.718,-73.9936,70.2,78.3,62.9,59.9,Clear
2021-09-04,40.8654,-73.8893,70.4,78.9,62.5,60.9,Partially cloudy
2021-09-04,37.105,-113.586,82.8,98.0,68.1,29.5,Clear
2021-09-04,40.62319,-74.02567,70.8,80.0,62.2,57.8,Partially cloudy
2021-09-05,40.718,-73.9936,71.5,74.7,67.2,74.2,"Rain, Partially cloudy"
2021-09-05,40.62319,-74.02567,71.5,75.3,66.0,73.5,"Rain, Partially cloudy"
2021-09-05,40.7346,-73.9442,71.5,74.7,67.5,74.8,"Rain, Partially cloudy"
2021-09-05,40.8654,-73.8893,71.4,74.7,67.1,75.7,"Rain, Partially cloudy"
2021-09-06,40.62319,-74.02567,76.1,83.7,70.7,61.6,Partially cloudy
2021-09-06,40.718,-73.9936,75.4,82.3,70.6,63.2,Partially cloudy
2021-09-06,40.7346,-73.9442,75.4,82.1,70.6,63.8,Partially cloudy
2021-09-06,40.8654,-73.8893,75.3,82.3,70.2,64.5,Partially cloudy
2021-09-07,40.718,-73.9936,72.8,80.0,65.8,58.0,Clear
2021-09-07,40.62319,-74.02567,73.6,81.7,65.1,56.3,Clear
2021-09-07,40.7346,-73.9442,72.9,80.2,65.9,58.4,Clear
2021-09-07,40.8654,-73.8893,72.9,80.9,65.3,58.9,Clear
2021-09-07,40.701647,-73.8038,73.0,79.9,65.5,59.8,Partially cloudy
2021-09-07,37.105,-113.586,87.9,105.2,71.9,18.9,Clear
2021-09-08,40.718,-73.9936,76.3,82.9,71.4,70.1,Partially cloudy
2021-09-08,40.62319,-74.02567,77.0,84.3,70.4,66.8,Partially cloudy
2021-09-08,40.7346,-73.9442,76.2,82.8,71.6,71.3,Partially cloudy
2021-09-08,37.105,-113.586,87.2,104.1,71.0,13.3,Clear
2021-09-08,40.8654,-73.8893,76.1,82.7,70.9,72.0,Partially cloudy
2021-09-09,40.62319,-74.02567,71.9,76.4,69.7,80.5,"Rain, Partially cloudy"
2021-09-09,40.718,-73.9936,71.2,76.2,69.2,82.4,"Rain, Partially cloudy"
2021-09-09,40.7346,-73.9442,71.0,76.1,68.6,81.9,"Rain, Partially cloudy"
2021-09-09,37.105,-113.586,85.1,100.1,71.0,24.4,Clear
2021-09-09,40.8654,-73.8893,70.9,75.8,68.4,81.9,"Rain, Partially cloudy"
2021-09-09,40.701647,-73.8038,71.1,75.0,69.6,86.5,"Rain, Overcast"
2021-09-10,40.718,-73.9936,69.3,74.4,64.3,57.0,Partially cloudy
2021-09-10,40.62319,-74.02567,69.9,76.0,64.6,55.0,Partially cloudy
2021-09-10,40.7346,-73.9442,69.3,74.2,64.5,57.1,Partially cloudy
2021-09-10,40.8654,-73.8893,69.3,74.4,64.3,57.3,Partially cloudy
2021-09-10,37.105,-113.586,86.7,101.9,74.0,31.0,Clear
2021-09-11,40.62319,-74.02567,69.8,78.1,60.0,52.9,Partially cloudy
2021-09-11,40.7346,-73.9442,69.9,76.5,62.2,51.5,Partially cloudy
2021-09-11,37.105,-113.586,88.4,98.0,79.1,28.1,Clear
2021-09-12,40.718,-73.9936,74.8,82.5,67.4,62.7,Partially cloudy
2021-09-12,40.62319,-74.02567,75.2,84.0,66.9,62.3,Partially cloudy
2021-09-12,40.7346,-73.9442,74.8,82.5,67.5,61.9,Partially cloudy
2021-09-12,37.105,-113.586,86.0,98.9,73.1,26.9,Clear
2021-09-12,40.8654,-73.8893,74.8,83.0,67.1,61.8,Partially cloudy
2021-09-25,40.718,-73.9936,67.3,75.5,59.5,59.3,Clear
2021-09-13,40.718,-73.9936,78.6,83.5,69.8,61.5,"Rain, Partially cloudy"
2021-09-13,40.62319,-74.02567,79.2,85.1,71.0,61.6,"Rain, Partially cloudy"
2021-09-13,40.8654,-73.8893,78.8,84.1,70.7,60.1,"Rain, Partially cloudy"
2021-09-13,37.105,-113.586,84.6,98.9,68.0,19.9,Clear
2021-09-14,40.62319,-74.02567,73.9,79.3,68.6,74.2,Partially cloudy
2021-09-14,40.7346,-73.9442,73.4,79.0,69.1,73.1,Partially cloudy
2021-09-14,40.718,-73.9936,73.4,78.8,69.1,74.2,Partially cloudy
2021-09-14,40.8654,-73.8893,73.6,79.5,69.0,72.3,Partially cloudy
2022-10-04,40.7346,-73.9442,51.1,56.0,46.1,87.8,"Rain, Overcast"
2021-09-14,37.105,-113.586,83.3,98.0,66.8,17.9,Clear
2021-09-15,40.62319,-74.02567,79.3,87.8,72.8,71.2,Partially cloudy
2021-09-15,40.7346,-73.9442,78.2,85.7,73.0,73.9,Partially cloudy
2021-09-15,40.718,-73.9936,78.3,85.6,73.1,74.0,Partially cloudy
2021-09-15,40.8654,-73.8893,78.3,86.3,72.7,73.1,Partially cloudy
2021-09-16,40.718,-73.9936,73.8,76.5,71.7,71.7,Partially cloudy
2021-09-16,40.62319,-74.02567,74.7,77.7,71.9,69.4,Partially cloudy
2021-09-16,40.7346,-73.9442,73.7,76.3,71.8,72.0,"Rain, Partially cloudy"
2021-09-16,40.8654,-73.8893,73.6,76.4,71.6,72.0,"Rain, Partially cloudy"
2021-09-16,37.105,-113.586,81.3,95.1,69.2,16.7,Clear
2021-09-17,40.62319,-74.02567,73.3,75.0,70.9,81.6,Overcast
2021-09-17,40.7346,-73.9442,72.4,74.3,69.8,82.7,"Rain, Overcast"
2021-09-17,40.718,-73.9936,72.6,74.5,69.9,82.5,Overcast
2021-09-17,37.105,-113.586,78.4,92.9,62.9,16.9,Rain
2021-09-17,40.8654,-73.8893,72.3,74.2,69.8,83.2,"Rain, Overcast"
2021-09-18,40.62319,-74.02567,77.5,86.0,70.4,67.6,Partially cloudy
2021-09-18,40.7346,-73.9442,76.5,84.2,69.4,69.1,Partially cloudy
2021-09-18,37.105,-113.586,75.0,80.9,68.1,48.4,Partially cloudy
2021-09-18,40.8654,-73.8893,76.5,83.9,69.1,69.4,Partially cloudy
2021-09-18,40.718,-73.9936,76.7,84.6,69.7,69.0,Partially cloudy
2021-09-19,40.718,-73.9936,71.2,76.4,65.1,55.6,Clear
2021-09-19,40.62319,-74.02567,71.9,77.3,65.7,53.7,Clear
2021-09-19,40.7346,-73.9442,71.2,76.1,65.0,55.5,Clear
2021-09-19,37.105,-113.586,76.3,92.0,62.9,46.0,Clear
2021-09-19,40.8654,-73.8893,71.2,75.9,64.7,55.4,Clear
2021-09-20,40.718,-73.9936,68.7,74.7,63.2,65.0,Partially cloudy
2021-09-20,40.62319,-74.02567,69.0,75.8,61.8,62.6,Partially cloudy
2021-09-20,40.7346,-73.9442,68.7,74.4,63.3,64.9,Partially cloudy
2022-10-06,40.7346,-73.9442,63.7,73.9,54.8,59.3,Partially cloudy
2021-09-20,40.8654,-73.8893,68.4,74.4,62.2,64.5,Partially cloudy
2021-09-20,37.105,-113.586,73.1,83.9,64.1,22.5,Clear
2021-09-21,40.62319,-74.02567,71.0,76.2,63.5,68.6,"Rain, Partially cloudy"
2021-09-21,40.7346,-73.9442,69.5,74.5,63.1,70.4,"Rain, Partially cloudy"
2021-09-21,40.718,-73.9936,69.8,75.1,63.2,70.3,"Rain, Partially cloudy"
2021-09-21,37.105,-113.586,73.0,88.1,56.9,16.8,Clear
2021-09-21,40.8654,-73.8893,69.4,74.6,62.4,70.4,"Rain, Partially cloudy"
2021-09-21,40.701647,-73.8038,69.0,75.2,60.7,75.1,"Rain, Partially cloudy"
2021-09-22,40.62319,-74.02567,76.1,80.4,72.7,79.8,"Rain, Partially cloudy"
2021-09-22,40.7346,-73.9442,74.7,78.3,71.4,82.1,"Rain, Partially cloudy"
2021-09-22,40.718,-73.9936,74.9,78.3,71.6,82.4,"Rain, Partially cloudy"
2021-09-22,40.8654,-73.8893,74.8,78.9,71.2,81.2,"Rain, Partially cloudy"
2021-09-22,37.105,-113.586,74.8,92.9,61.1,18.1,Clear
2021-09-23,40.718,-73.9936,75.5,80.1,66.1,79.2,"Rain, Overcast"
2021-09-23,40.62319,-74.02567,75.7,80.7,66.9,79.2,"Rain, Overcast"
2021-09-23,40.7346,-73.9442,75.7,80.4,66.2,78.0,"Rain, Overcast"
2021-09-23,40.8654,-73.8893,75.9,80.9,66.6,76.8,"Rain, Overcast"
2021-09-23,37.105,-113.586,75.8,92.0,60.2,17.9,Clear
2021-09-24,40.62319,-74.02567,66.6,74.0,58.9,63.4,"Rain, Partially cloudy"
2021-09-24,40.7346,-73.9442,65.9,73.0,58.2,64.8,"Rain, Partially cloudy"
2021-09-24,40.718,-73.9936,65.8,72.6,58.2,65.5,"Rain, Partially cloudy"
